CUSTOMER,GENDER,AGE RANGE,MARITAL,CHILDREN,WORKING
1,Female,18 to 30,Widowed,No,Yes
2,Female,18 to 30,Separated,No,Yes
3,Male,18 to 30,Single,No,Yes
4,Female,18 to 30,Widowed,No,Yes
5,Female,18 to 30,Separated,No,Yes
6,Male,18 to 30,Single,No,No
7,Female,18 to 30,Single,No,No
8,Female,18 to 30,Widowed,No,No
9,Female,18 to 30,Single,No,No
10,Female,18 to 30,Single,No,No
11,Female,18 to 30,Single,No,No
12,Female,18 to 30,Single,No,No
13,Male,18 to 30,Widowed,No,No
14,Female,18 to 30,Single,No,No
15,Male,18 to 30,Single,No,No
16,Male,18 to 30,Single,No,No
17,Male,18 to 30,Single,No,No
18,Female,18 to 30,Single,No,No
19,Male,18 to 30,Single,No,No
20,Female,18 to 30,Single,No,No
21,Female,18 to 30,Single,No,No
22,Male,18 to 30,Single,No,No
23,Female,18 to 30,Widowed,No,No
24,Female,18 to 30,Single,No,No
25,Male,18 to 30,Married,No,Yes
26,Male,18 to 30,Widowed,No,Yes
27,Female,18 to 30,Widowed,Yes,Yes
28,Female,18 to 30,Separated,No,Yes
29,Female,18 to 30,Separated,Yes,Yes
30,Male,18 to 30,Separated,No,Yes
31,Female,18 to 30,Single,No,Yes
32,Female,18 to 30,Widowed,No,Yes
33,Female,18 to 30,Single,No,Yes
34,Female,18 to 30,Separated,No,Yes
35,Male,18 to 30,Single,No,Yes
36,Male,18 to 30,Single,No,Yes
37,Male,18 to 30,Single,Yes,Yes
38,Female,18 to 30,Single,Yes,Yes
39,Female,18 to 30,Single,Yes,Yes
40,Male,18 to 30,Single,No,Yes
41,Female,18 to 30,Single,No,Yes
42,Male,18 to 30,Married,No,Yes
43,Female,18 to 30,Widowed,No,Yes
44,Male,18 to 30,Separated,No,Yes
45,Male,18 to 30,Widowed,No,Yes
46,Male,18 to 30,Single,No,Yes
47,Female,18 to 30,Single,Yes,Yes
48,Male,18 to 30,Single,Yes,Yes
49,Male,18 to 30,Single,Yes,Yes
50,Female,18 to 30,Separated,No,Yes
